cat_a,cat_b,i,j,alpha,beta,mean_err_i,mean_err_j,mean_resid_norm,mean_marg_norm,mean_resid_ratio,median_resid_ratio
b1,b13,1,13,0.0,2.0,1.3969838619232178e-09,1.3969838619232178e-09,2.354661532422142e-08,0.4162198007106781,8.54634691904721e-08,5.099488831206145e-08
b1,b13,1,13,2.0,-2.0,0.03384743258357048,0.0761256068944931,0.42683476209640503,0.6049681305885315,0.71189284324646,0.7364769577980042
b1,b13,1,13,2.0,0.0,2.3283064365386963e-09,1.6298145055770874e-09,1.8986487049232892e-08,0.35827040672302246,5.3740929928380865e-08,5.1712582660456974e-08
b1,b13,1,13,2.0,2.0,0.053535714745521545,0.060069188475608826,0.4671782851219177,0.6530169248580933,0.7244516015052795,0.7385421991348267
b8,b4,8,4,-2.0,-2.0,0.027317097410559654,0.06714283674955368,0.5112930536270142,0.6167014241218567,0.8245593309402466,0.8031306266784668
b8,b4,8,4,-2.0,0.0,5.529727786779404e-10,9.313225746154785e-10,2.19766675968458e-08,0.3631456196308136,6.250105855087895e-08,5.6447305496476474e-08
b8,b4,8,4,-2.0,2.0,0.023128699511289597,0.07964832335710526,0.5315344929695129,0.6205308437347412,0.8683310747146606,0.8334054946899414
b8,b4,8,4,0.0,-2.0,1.0477378964424133e-09,2.3283064365386963e-10,2.0024010893848754e-08,0.3488740921020508,6.068233915357268e-08,5.020152116230747e-08
b8,b4,8,4,0.0,2.0,5.238689482212067e-10,5.384208634495735e-10,1.5358882166083276e-08,0.35423576831817627,4.414319931811406e-08,4.350136606490196e-08
b8,b4,8,4,2.0,-2.0,0.044177308678627014,0.04532245174050331,0.4503940939903259,0.5916612148284912,0.7575333118438721,0.7586174011230469
b8,b4,8,4,2.0,0.0,8.440110832452774e-10,7.712515071034431e-10,1.734771259975787e-08,0.3328354060649872,5.6715020235742486e-08,5.269707870070306e-08
b8,b4,8,4,2.0,2.0,0.0475635901093483,0.03812054172158241,0.4419889748096466,0.6072471141815186,0.7341896295547485,0.6965917944908142
b8,b7,8,7,-2.0,-2.0,0.03670024871826172,0.033968422561883926,0.4884803593158722,0.6099046468734741,0.7987496852874756,0.8133341073989868
b8,b7,8,7,-2.0,0.0,5.529727786779404e-10,2.3283064365386963e-10,2.19766675968458e-08,0.3631456196308136,6.250105855087895e-08,5.6447305496476474e-08
b8,b7,8,7,-2.0,2.0,0.035299550741910934,0.03670871630311012,0.5103920698165894,0.6524467468261719,0.775114893913269,0.773915708065033
b8,b7,8,7,0.0,-2.0,2.9103830456733704e-11,6.984919309616089e-10,1.8641305388200635e-08,0.3307090103626251,5.722233709093416e-08,5.131627034415942e-08
b8,b7,8,7,0.0,2.0,9.604264050722122e-10,8.149072527885437e-10,2.0478612583474387e-08,0.3781948387622833,5.657431501049359e-08,4.445876911063351e-08
b8,b7,8,7,2.0,-2.0,0.0491248294711113,0.04967963695526123,0.48630303144454956,0.5813153982162476,0.8423354625701904,0.8334116339683533
b8,b7,8,7,2.0,0.0,8.440110832452774e-10,4.656612873077393e-10,1.734771259975787e-08,0.3328354060649872,5.6715020235742486e-08,5.269707870070306e-08
b8,b7,8,7,2.0,2.0,0.04893229156732559,0.03288887441158295,0.4946628510951996,0.6310310363769531,0.787655770778656,0.7867985963821411
