decomposer,k,seed,layer,silhouette_cosine_H,component,mi,linear_sep_acc,category_top1_dominance,vad_explained
pca,16,1,19,-0.05367756634950638,0,0.2462319885158024,0.1771875,0.375,0.00018741743406280875
pca,16,1,19,-0.05367756634950638,1,0.20335233241418482,0.1484375,0.5,0.002998603042215109
pca,16,1,19,-0.05367756634950638,2,0.2207677605026328,0.1509375,0.5,0.01729877106845379
pca,16,1,19,-0.05367756634950638,3,0.1447441740955302,0.1453125,0.375,0.012113402597606182
pca,16,1,19,-0.05367756634950638,4,0.15288243456307926,0.1446875,0.25,0.0010829896200448275
pca,16,1,19,-0.05367756634950638,5,0.1843650519419322,0.16312500000000002,0.625,0.01672593504190445
pca,16,1,19,-0.05367756634950638,6,0.16235453273426614,0.14750000000000002,1.0,0.0014629838988184929
pca,16,1,19,-0.05367756634950638,7,0.15059876396284544,0.15499999999999997,0.25,0.0006053464603610337
pca,16,1,19,-0.05367756634950638,8,0.22442143684777704,0.17500000000000002,0.75,0.02369411289691925
pca,16,1,19,-0.05367756634950638,9,0.17900608173255161,0.1703125,1.0,0.007033695466816425
pca,16,1,19,-0.05367756634950638,10,0.15308159879853012,0.1409375,0.625,0.00695306621491909
pca,16,1,19,-0.05367756634950638,11,0.14239466221460795,0.1353125,0.375,0.0031850377563387156
pca,16,1,19,-0.05367756634950638,12,0.16361645010090742,0.1378125,0.5,0.0028480086475610733
pca,16,1,19,-0.05367756634950638,13,0.15098078151729544,0.1428125,0.75,0.006229689344763756
pca,16,1,19,-0.05367756634950638,14,0.15999753088481006,0.1471875,0.625,0.008774413727223873
pca,16,1,19,-0.05367756634950638,15,0.16104315770034194,0.14531249999999998,0.5,0.005900380667299032
