cat_a,cat_b,prompt_id,cluster_id,cluster_name,alpha,beta,cos_joint,cos_marg_a,cos_marg_b,cos_baseline,joint_minus_marg_max,joint_minus_marg_avg
disgust,joy,6,0,self-doubt / encouragement,2.0,-2.0,0.10782143473625183,0.17306208610534668,0.19403375685214996,0.05742540583014488,-0.08621232211589813,-0.07572648674249649
disgust,joy,6,0,self-doubt / encouragement,2.0,2.0,0.12620650231838226,0.17306208610534668,0.06423669308423996,0.05742540583014488,-0.046855583786964417,0.0075571127235889435
disgust,joy,6,1,frustration / despair,-2.0,-2.0,0.08251304924488068,0.15788613259792328,0.14835700392723083,0.01839112676680088,-0.0753730833530426,-0.07060851901769638
disgust,joy,6,1,frustration / despair,-2.0,2.0,0.07838751375675201,0.15788613259792328,0.0566629022359848,0.01839112676680088,-0.07949861884117126,-0.028887003660202026
disgust,joy,6,1,frustration / despair,2.0,-2.0,0.10054109245538712,0.23734605312347412,0.14835700392723083,0.01839112676680088,-0.136804960668087,-0.09231043606996536
disgust,joy,6,1,frustration / despair,2.0,2.0,0.13707399368286133,0.23734605312347412,0.0566629022359848,0.01839112676680088,-0.10027205944061279,-0.009930483996868134
disgust,joy,6,2,uncertainty / indecision,-2.0,-2.0,0.11995156109333038,0.20431500673294067,0.1682434231042862,0.05211809650063515,-0.08436344563961029,-0.06632765382528305
disgust,joy,6,2,uncertainty / indecision,-2.0,2.0,0.12175299227237701,0.20431500673294067,0.1096753478050232,0.05211809650063515,-0.08256201446056366,-0.03524218499660492
disgust,joy,6,2,uncertainty / indecision,2.0,-2.0,0.17944419384002686,0.22024178504943848,0.1682434231042862,0.05211809650063515,-0.04079759120941162,-0.01479841023683548
disgust,joy,6,2,uncertainty / indecision,2.0,2.0,0.12240530550479889,0.22024178504943848,0.1096753478050232,0.05211809650063515,-0.09783647954463959,-0.042553260922431946
disgust,joy,6,3,romantic idealism,-2.0,-2.0,0.06152266263961792,0.03846999257802963,0.07945914566516876,-0.0029555847868323326,-0.017936483025550842,0.0025580935180187225
disgust,joy,6,3,romantic idealism,-2.0,2.0,0.04242110624909401,0.03846999257802963,0.06310756504535675,-0.0029555847868323326,-0.02068645879626274,-0.008367672562599182
disgust,joy,6,3,romantic idealism,2.0,-2.0,0.08531415462493896,0.07516255974769592,0.07945914566516876,-0.0029555847868323326,0.005855008959770203,0.008003301918506622
disgust,joy,6,3,romantic idealism,2.0,2.0,0.04512127488851547,0.07516255974769592,0.06310756504535675,-0.0029555847868323326,-0.03004128485918045,-0.024013787508010864
disgust,joy,6,4,academic ambition / competitive determination,-2.0,-2.0,0.02601758949458599,0.08016881346702576,0.1666058599948883,0.06546790897846222,-0.14058827050030231,-0.09736974723637104
disgust,joy,6,4,academic ambition / competitive determination,-2.0,2.0,0.061997346580028534,0.08016881346702576,0.06803785264492035,0.06546790897846222,-0.018171466886997223,-0.012105986475944519
disgust,joy,6,4,academic ambition / competitive determination,2.0,-2.0,0.0894240066409111,0.11798050254583359,0.1666058599948883,0.06546790897846222,-0.0771818533539772,-0.052869174629449844
disgust,joy,6,4,academic ambition / competitive determination,2.0,2.0,0.07631763070821762,0.11798050254583359,0.06803785264492035,0.06546790897846222,-0.04166287183761597,-0.016691546887159348
disgust,joy,6,5,ironic amusement,-2.0,-2.0,0.04129508137702942,0.08523133397102356,0.13025254011154175,0.11780644953250885,-0.08895745873451233,-0.06644685566425323
disgust,joy,6,5,ironic amusement,-2.0,2.0,0.10455386340618134,0.08523133397102356,0.09423606842756271,0.11780644953250885,0.010317794978618622,0.014820162206888199
disgust,joy,6,5,ironic amusement,2.0,-2.0,0.06896214932203293,0.13946524262428284,0.13025254011154175,0.11780644953250885,-0.07050309330224991,-0.06589674204587936
disgust,joy,6,5,ironic amusement,2.0,2.0,0.10915270447731018,0.13946524262428284,0.09423606842756271,0.11780644953250885,-0.030312538146972656,-0.007697951048612595
disgust,joy,6,6,enthusiasm / curiosity,-2.0,-2.0,0.10594072937965393,0.18675649166107178,0.24350573122501373,0.07693177461624146,-0.1375650018453598,-0.10919038206338882
disgust,joy,6,6,enthusiasm / curiosity,-2.0,2.0,0.15404260158538818,0.18675649166107178,0.1438835859298706,0.07693177461624146,-0.032713890075683594,-0.011277437210083008
disgust,joy,6,6,enthusiasm / curiosity,2.0,-2.0,0.15792010724544525,0.1515320986509323,0.24350573122501373,0.07693177461624146,-0.08558562397956848,-0.03959880769252777
disgust,joy,6,6,enthusiasm / curiosity,2.0,2.0,0.10902786254882812,0.1515320986509323,0.1438835859298706,0.07693177461624146,-0.04250423610210419,-0.038679979741573334
disgust,joy,7,0,self-doubt / encouragement,-2.0,-2.0,0.17884160578250885,0.17882271111011505,0.22511936724185944,0.23421017825603485,-0.046277761459350586,-0.023129433393478394
disgust,joy,7,0,self-doubt / encouragement,-2.0,2.0,0.2940784990787506,0.17882271111011505,0.22920849919319153,0.23421017825603485,0.06486999988555908,0.09006289392709732
disgust,joy,7,0,self-doubt / encouragement,2.0,-2.0,0.23530732095241547,0.23229947686195374,0.22511936724185944,0.23421017825603485,0.003007844090461731,0.006597898900508881
