axis,alpha_unit,n,mean_plutchik_max,mean_plutchik_entropy,mean_other_score,frac_other_dominant,top_other_label,top_other_count,top_plutchik,n_unique_other_labels,mean_s_anger,mean_s_anticipation,mean_s_disgust,mean_s_fear,mean_s_joy,mean_s_sadness,mean_s_surprise,mean_s_trust
16,2.0,8,0.325,0.816115079772703,0.325,0.25,uncertainty,2,anticipation,4,0.037500000000000006,0.3,0.0,0.1,0.1375,0.1125,0.0,0.275
17,-2.0,8,0.4375,0.937361086308635,0.4125,0.5,confusion,1,anticipation,6,0.0,0.375,0.0375,0.1125,0.3,0.0625,0.0,0.3125
17,0.0,8,0.475,0.7948596990087867,0.35,0.5,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.2875
17,2.0,8,0.3125,0.647569078292281,0.25,0.25,frustration,1,anger,4,0.0875,0.2125,0.025,0.0,0.1,0.0,0.0375,0.15000000000000002
18,-2.0,8,0.375,0.5604718738330127,0.3,0.375,determination,1,anticipation,4,0.0,0.2625,0.0,0.0,0.275,0.0,0.0,0.25
18,0.0,8,0.475,0.8487826271902474,0.35,0.5,confusion,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.325
18,2.0,8,0.45,0.8480597767126895,0.175,0.125,uncertainty,1,anticipation,3,0.0,0.4125,0.0,0.0625,0.25,0.0,0.0,0.4375
19,-2.0,8,0.3875,0.5657253334955085,0.4,0.5,self-doubt,1,anticipation,6,0.0,0.3125,0.0,0.0375,0.2,0.0,0.0375,0.175
19,0.0,8,0.475,0.8487826271902474,0.4125,0.5,indecision,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.325
19,2.0,8,0.3,0.6176185109592789,0.25,0.25,confusion,1,anticipation,4,0.0625,0.23750000000000002,0.0,0.0,0.1625,0.0,0.0125,0.2375
20,-2.0,8,0.2875,0.5657454911632454,0.1625,0.125,frustration,1,anger,3,0.0,0.2375,0.0,0.0,0.1125,0.0625,0.0,0.225
20,0.0,8,0.475,0.8326080068407429,0.39999999999999997,0.5,indecision,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
20,2.0,8,0.48750000000000004,0.838326526783527,0.375,0.25,repetitive desire,2,anticipation,4,0.0,0.4,0.0,0.0,0.4625,0.0,0.025,0.325
21,-2.0,8,0.3875,0.6180032600627083,0.47500000000000003,0.625,confusion,2,anticipation,6,0.0,0.275,0.075,0.0375,0.1,0.0,0.07500000000000001,0.2375
21,0.0,8,0.475,0.8326080068407429,0.425,0.5,indecision,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
21,2.0,8,0.3875,0.8090736989268235,0.375,0.375,motivation,1,anticipation,5,0.0,0.35,0.0,0.025,0.2875,0.0,0.05,0.2875
22,-2.0,8,0.2125,0.5053162432596005,0.35,0.625,confusion,1,anger,5,0.0,0.15,0.0,0.0,0.09999999999999999,0.0,0.0125,0.2
22,0.0,8,0.475,0.8487826271902474,0.3,0.375,indecision,1,anticipation,5,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.325
22,2.0,8,0.42500000000000004,0.9664468017136583,0.3875,0.25,unrequited affection,1,anticipation,7,0.0,0.375,0.0,0.0875,0.1875,0.0375,0.0625,0.3625
23,-2.0,8,0.5,0.58019812898178,0.2625,0.0,frustration,1,anticipation,5,0.1,0.3,0.0,0.0,0.1875,0.0,0.025,0.225
23,0.0,8,0.475,0.8239880975153008,0.35,0.375,indecision,1,anticipation,5,0.0,0.4375,0.0,0.0875,0.15,0.075,0.0,0.2875
23,2.0,8,0.5,0.9997369970686573,0.35,0.375,indecision,1,anticipation,5,0.0,0.4375,0.0,0.2125,0.0625,0.15,0.075,0.35
24,-2.0,8,0.5,1.0962667184696349,0.45,0.375,confusion,2,anticipation,6,0.0,0.425,0.0,0.15,0.2,0.15,0.0625,0.425
24,0.0,8,0.475,0.8487826271902474,0.375,0.5,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0,0.325
24,2.0,8,0.4,0.7976876992049948,0.2625,0.125,overwhelmed,1,anticipation,5,0.0,0.3125,0.0,0.0875,0.1125,0.05,0.025,0.32499999999999996
25,-2.0,8,0.4625,1.061399119033168,0.3375,0.25,self-reflection,1,anticipation,5,0.0,0.4125,0.0875,0.075,0.3125,0.0125,0.0,0.3375
25,0.0,8,0.475,0.8749070815495509,0.3625,0.5,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0125,0.2875
25,2.0,8,0.4625,0.8932670254420021,0.46249999999999997,0.625,excitement,1,anticipation,6,0.0,0.4375,0.0,0.125,0.275,0.0,0.1125,0.325
26,-2.0,8,0.47500000000000003,0.9856389261667948,0.425,0.25,curiosity,2,trust,6,0.1,0.3,0.0,0.07500000000000001,0.16249999999999998,0.07500000000000001,0.0625,0.3625
26,0.0,8,0.475,0.8371587737175947,0.3625,0.5,indecision,1,anticipation,5,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0125,0.2875
26,2.0,8,0.375,0.49000309661597796,0.2625,0.25,determination,1,anticipation,5,0.0,0.35,0.0,0.0625,0.15,0.0,0.0,0.1875
27,-2.0,8,0.4375,0.7862892752936592,0.3625,0.375,indecision,1,anticipation,6,0.0,0.3375,0.0,0.0625,0.275,0.0625,0.025,0.2875
27,0.0,8,0.475,0.9615504791160902,0.4,0.5,indecision,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0125,0.35
