sweep,artifact,decomposer,k,seed,layer,category,target_norm,fit,lasso_alpha,r2,cosine,residual_l2,weight_l1,weight_l2,weight_l0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,trust,3.948798894882202,lasso,0.001,0.49174698909027437,0.8102121949195862,2.8151722398985486,10.125612258911133,6.580261707305908,3
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,trust,3.948798894882202,lasso,0.01,0.0,0.0,3.948798665721612,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,trust,3.948798894882202,lasso,0.1,0.0,0.0,3.948798665721612,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,anger,3.6211390495300293,ols,,0.6851621515318836,0.8277453184127808,2.031836087697053,29.239059448242188,12.252843856811523,8
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,anger,3.6211390495300293,nnls,,0.05750501261883312,0.23980202827969072,3.515480766688667,2.261514071087207,2.253671335844566,2
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,anger,3.6211390495300293,lasso,0.001,0.3551243060893081,0.7497841715812683,2.9079250307769526,7.58866548538208,3.8834023475646973,5
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,anger,3.6211390495300293,lasso,0.01,0.0,0.0,3.6211390487323056,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,anger,3.6211390495300293,lasso,0.1,0.0,0.0,3.6211390487323056,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,anticipation,4.50900411605835,ols,,0.8132407105117005,0.9017985463142395,1.9485955780683881,41.99094772338867,19.126934051513672,8
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,anticipation,4.50900411605835,nnls,,0.007494030759531145,0.08656827306081614,4.492076770944045,1.0131353274533328,1.0131353274533328,1
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,anticipation,4.50900411605835,lasso,0.001,0.3969933466924843,0.7106184959411621,3.501399441641407,8.84411907196045,6.940112590789795,4
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,anticipation,4.50900411605835,lasso,0.01,0.0,0.0,4.5090038503705285,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,anticipation,4.50900411605835,lasso,0.1,0.0,0.0,4.5090038503705285,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,disgust,3.974813461303711,ols,,0.7866645690727125,0.886941134929657,1.8358966579358422,28.042264938354492,13.166800498962402,8
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,disgust,3.974813461303711,nnls,,0.0656165452976174,0.25615733492144466,3.842194149658169,5.314752381436994,2.8159191417204688,4
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,disgust,3.974813461303711,lasso,0.001,0.5255251831999324,0.8284791111946106,2.7379361750127784,10.646339416503906,5.783620834350586,4
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,disgust,3.974813461303711,lasso,0.01,0.0,0.0,3.9748133201668456,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,disgust,3.974813461303711,lasso,0.1,0.0,0.0,3.9748133201668456,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,fear,3.9300339221954346,ols,,0.7687344030094412,0.8767750859260559,1.8899565847143427,36.51756286621094,15.549065589904785,8
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,fear,3.9300339221954346,nnls,,0.030962213123471027,0.17596090333509426,3.8687143823699555,2.167940086102135,1.7825108602590178,2
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,fear,3.9300339221954346,lasso,0.001,0.31862206577756,0.775575578212738,3.24407095377851,7.959364891052246,3.8007495403289795,6
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,fear,3.9300339221954346,lasso,0.01,0.0,0.0,3.930034038211871,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,fear,3.9300339221954346,lasso,0.1,0.0,0.0,3.930034038211871,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,joy,2.8518917560577393,ols,,0.5688586022554374,0.7542269825935364,1.8725907423698922,11.152190208435059,5.574806213378906,8
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,joy,2.8518917560577393,nnls,,0.15215105324516986,0.39006545019457917,2.625985065432554,5.7529721190072145,3.4873801492253986,4
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,joy,2.8518917560577393,lasso,0.001,0.4517537822007681,0.7064839601516724,2.111644625871138,4.740878105163574,3.574226140975952,3
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,joy,2.8518917560577393,lasso,0.01,0.0,0.0,2.851891569197703,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,joy,2.8518917560577393,lasso,0.1,0.0,0.0,2.851891569197703,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,sadness,4.420462131500244,ols,,0.8366896727153039,0.9147074818611145,1.7863826754224068,41.27705001831055,17.169719696044922,8
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,sadness,4.420462131500244,nnls,,0.11554749859126856,0.33992279598432373,4.157238407274892,4.822234313633807,3.8678922172608994,2
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,sadness,4.420462131500244,lasso,0.001,0.4227446357884289,0.8160218000411987,3.358548794658716,10.998167037963867,5.559442043304443,6
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,sadness,4.420462131500244,lasso,0.01,0.0,0.0,4.420462123136005,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,sadness,4.420462131500244,lasso,0.1,0.0,0.0,4.420462123136005,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,surprise,3.1134231090545654,ols,,0.6322571485943261,0.7951459884643555,1.8880360429523861,23.118581771850586,9.182596206665039,8
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,surprise,3.1134231090545654,nnls,,0.3081365619971407,0.5551005310111656,2.589693409299089,13.111765878064642,6.223529774114818,5
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,surprise,3.1134231090545654,lasso,0.001,0.3776678130679515,0.7244556546211243,2.4561183670919657,6.360682487487793,3.2643179893493652,4
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,surprise,3.1134231090545654,lasso,0.01,0.0,0.0,3.1134232281674894,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,surprise,3.1134231090545654,lasso,0.1,0.0,0.0,3.1134232281674894,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,trust,3.948798894882202,ols,,0.7486007883449374,0.8652172088623047,1.9799168286050197,29.26270294189453,14.798629760742188,8
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,trust,3.948798894882202,nnls,,0.03913556210079305,0.19782703791363146,3.870758279187087,2.282492935515705,1.9653166481672213,3
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,trust,3.948798894882202,lasso,0.001,0.49339801327877253,0.8114443421363831,2.810596075946173,10.156444549560547,6.61285400390625,3
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,trust,3.948798894882202,lasso,0.01,0.0,0.0,3.948798665721612,0.0,0.0,0
basis_sweep,ica_k008_seed1.pt,ica,8,1,19,trust,3.948798894882202,lasso,0.1,0.0,0.0,3.948798665721612,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,anger,3.6211390495300293,ols,,0.8458441869760942,0.9196978211402893,1.4217562783110866,39.71706771850586,12.558794021606445,16
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,anger,3.6211390495300293,nnls,,0.390990058578771,0.6252919786627699,2.825903925578845,13.840430514998266,5.2040946543022875,9
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,anger,3.6211390495300293,lasso,0.001,0.3690230296020076,0.6727187037467957,2.8764177226900256,6.274513244628906,3.397231101989746,7
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,anger,3.6211390495300293,lasso,0.01,0.0,0.0,3.6211390487323056,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,anger,3.6211390495300293,lasso,0.1,0.0,0.0,3.6211390487323056,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,anticipation,4.50900411605835,ols,,0.8884978436791702,0.9426016211509705,1.5056437970132568,52.403900146484375,19.274154663085938,16
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,anticipation,4.50900411605835,nnls,,0.15339830893894146,0.39166098463547927,4.148777766036505,11.695916975641872,4.448009552681407,8
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,anticipation,4.50900411605835,lasso,0.001,0.396247054232149,0.7369776368141174,3.5035654708169477,9.551039695739746,6.070528507232666,5
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,anticipation,4.50900411605835,lasso,0.01,0.0,0.0,4.5090038503705285,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,anticipation,4.50900411605835,lasso,0.1,0.0,0.0,4.5090038503705285,0.0,0.0,0
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,disgust,3.974813461303711,ols,,0.8981869922011758,0.9477272629737854,1.2682894223081373,42.25544738769531,13.425862312316895,16
basis_sweep,ica_k016_seed0.pt,ica,16,0,19,disgust,3.974813461303711,nnls,,0.4060638828377464,0.6372314286011551,3.0632793569258157,16.240268703052415,6.408137453657137,8
