layer,category,target_norm,fit,r2,cosine,residual_l2,weight_l1,weight_l2,weight_l0,weights
16,joy,2.1314613819122314,vad_ols,0.06220938470532544,0.24941815435886383,2.0640985478524474,1.118878722190857,0.7525530457496643,3,"[0.6147910356521606, 0.42713794112205505, -0.07694973796606064]"
19,joy,2.8518917560577393,vad_ols,0.0729667739478409,0.270123690366745,2.7458743445923166,1.5476094484329224,1.0716828107833862,3,"[0.8995374441146851, 0.578336775302887, -0.06973520666360855]"
22,joy,3.6186840534210205,vad_ols,0.05328880625330912,0.2308437079191208,3.520946357914312,1.6025707721710205,1.143675446510315,3,"[0.9969460368156433, 0.5584502816200256, -0.047174468636512756]"
13,sadness,2.3955397605895996,vad_ols,0.016081444218986052,0.12681223452091217,2.376199921105856,0.5585453510284424,0.3966887891292572,3,"[-0.3650684654712677, 0.04491976276040077, -0.1485571563243866]"
16,sadness,3.323620319366455,vad_ols,0.01813132745911572,0.13465219736099243,3.293351880792238,0.8441201448440552,0.589576005935669,3,"[-0.5482627749443054, 0.10766687989234924, -0.18819046020507812]"
19,sadness,4.420462131500244,vad_ols,0.02793220237071492,0.16712933778762817,4.358288263752849,1.5536699295043945,0.9977899193763733,3,"[-0.8579338788986206, 0.2543000876903534, -0.44143587350845337]"
22,sadness,5.9025139808654785,vad_ols,0.021530684510214115,0.1467333436012268,5.838626022704983,1.7280652523040771,1.1519453525543213,3,"[-1.0285805463790894, 0.23937781155109406, -0.4601067900657654]"
13,surprise,1.6284281015396118,vad_ols,0.008086230589108623,0.08992329239845276,1.6218308576923597,0.38495299220085144,0.27219995856285095,3,"[-0.02919437736272812, 0.24844278395175934, -0.10731584578752518]"
16,surprise,2.225400447845459,vad_ols,0.012972332815004872,0.11389654129743576,2.2109189521362014,0.5981205701828003,0.4422112703323364,3,"[-0.10784559696912766, 0.42365267872810364, -0.06662231683731079]"
19,surprise,3.1134231090545654,vad_ols,0.017935865739904022,0.13392505049705505,3.0853759254652307,1.0538079738616943,0.7353662848472595,3,"[-0.18749864399433136, 0.6884602904319763, -0.17784902453422546]"
22,surprise,4.056278705596924,vad_ols,0.011321400393539904,0.10640145093202591,4.033251834602958,1.0772842168807983,0.7519920468330383,3,"[-0.2215331643819809, 0.7019742131233215, -0.15377679467201233]"
13,trust,2.0369374752044678,vad_ols,0.013038362097349987,0.11418525129556656,2.0236147062848175,0.5353657007217407,0.35515499114990234,3,"[0.31703540682792664, 0.07925225794315338, -0.1390780508518219]"
16,trust,2.8902223110198975,vad_ols,0.01509254484363165,0.12285149842500687,2.8683289794475075,0.7406291365623474,0.5005699992179871,3,"[0.4449835419654846, 0.21436898410320282, -0.08127660304307938]"
19,trust,3.948798894882202,vad_ols,0.0187743376224897,0.13701945543289185,3.9115549914544054,1.1798677444458008,0.7750776410102844,3,"[0.6497644782066345, 0.4029769003391266, -0.1271262764930725]"
22,trust,5.438450813293457,vad_ols,0.012250356022767694,0.11068108677864075,5.405036569589841,1.2122682332992554,0.8375391960144043,3,"[0.7088642120361328, 0.4418014585971832, -0.061602633446455]"
