self_delta_pos,self_delta_neg,sign_correct,self_rho,specificity,causal_strength,cross_talk,mi,linear_sep_acc,label_dominance,vad_explained,primitive_score,contrib_self_rho,contrib_sign_correct,contrib_causal_strength,contrib_label_dominance,contrib_vad_explained,contrib_cross_talk,component
0.00799497275147587,-0.011240670806728303,1.0,0.25,-0.02735650693509905,0.009617821779102087,0.036974328714201136,0.16908090558479305,0.14875,1.0,0.0049116346053779125,0.7431095114083118,0.25,1.0,0.0048089108895510435,-0.5,-0.0024558173026889563,-0.009243582178550284,6
0.014018264133483171,-4.199426621198654e-05,1.0,0.0625,-0.025151732927908944,0.007030129199847579,0.03218186212775652,0.17128449701376525,0.1525,0.875,0.0014195370022207499,0.6197598305668743,0.0625,1.0,0.0035150645999237895,-0.4375,-0.0007097685011103749,-0.00804546553193913,24
-0.003648309502750635,-0.037007411010563374,0.0,0.625,-0.017797281924729413,0.020327860256657004,0.034476832678635785,0.17795024680198956,0.16687500000000002,0.5,0.0003267524589318782,0.3763813457292036,0.625,0.0,0.010163930128328502,-0.25,-0.0001633762294659391,-0.008619208169658946,14
-9.91553533822298e-05,-0.037038835464045405,0.0,0.375,-0.016659731918249265,0.018568995408713818,0.03512957197358085,0.14637673266184015,0.135,0.375,0.0006294436170719564,0.1876873829024257,0.375,0.0,0.009284497704356909,-0.1875,-0.0003147218085359782,-0.008782392993395213,16
-0.004259056411683559,-0.030014814576134086,0.0,0.375,-0.022776490367375248,0.017136935493908823,0.035654369449600515,0.12880581005623926,0.1375,0.375,0.0004143185797147453,0.1869477160946969,0.375,0.0,0.008568467746954411,-0.1875,-0.00020715928985737264,-0.008913592362400129,28
-0.0007708440534770489,-0.009200357599183917,0.0,0.1875,-0.02886651927168252,0.004985600826330483,0.03308127604453595,0.15805536558675648,0.16125,0.25,0.00708423275500536,0.053180365024528574,0.1875,0.0,0.0024928004131652415,-0.125,-0.00354211637750268,-0.008270319011133988,5
0.014573284890502691,0.002422960242256522,0.0,0.3125,-0.026773132470095464,0.008498122566379607,0.03284829479421855,0.16908511500527235,0.1515625,0.5,0.021419450640678406,0.04782726226429596,0.3125,0.0,0.004249061283189803,-0.25,-0.010709725320339203,-0.008212073698554638,27
-8.75059049576521e-06,-0.007025224505923688,0.0,0.375,-0.03099168299504238,0.003516987548209727,0.03449991995275634,0.1669743902627996,0.1840625,0.625,0.020545244216918945,0.04536089167745631,0.375,0.0,0.0017584937741048634,-0.3125,-0.010272622108459473,-0.008624979988189086,37
0.0331500805914402,0.00966784730553627,0.0,0.125,-0.02227130646485695,0.021408963948488235,0.034012423107808915,0.09572233402076824,0.1296875,0.25,0.0003137158928439021,0.002044518250869938,0.125,0.0,0.010704481974244118,-0.125,-0.00015685794642195106,-0.008503105776952229,47
0.021446160855703056,0.005955097498372197,0.0,0.5,-0.02569749931428796,0.013700629177037627,0.033443030992953385,0.17692817075338985,0.1403125,1.0,0.0005167589988559484,-0.0017688226591475072,0.5,0.0,0.006850314588518813,-0.5,-0.0002583794994279742,-0.008360757748238346,52
-0.0031664292328059673,-0.01835798833053559,0.0,0.125,-0.026580908022763666,0.010762208781670779,0.03417668757162848,0.14804166423005283,0.1515625,0.375,0.004031097050756216,-0.06767861602744984,0.125,0.0,0.0053811043908353895,-0.1875,-0.002015548525378108,-0.00854417189290712,18
