cat_a,cat_b,alpha,beta,cluster_id,cluster_name,cos_resid,cos_marg,cos_full,null_p95,norm_resid,norm_marg,norm_full
b1,b13,2.0,-2.0,6,enthusiasm / curiosity,-0.10419796407222748,0.34657180309295654,0.06103367358446121,0.041279226541519165,0.41917452216148376,0.6400750875473022,0.40201419591903687
b1,b13,2.0,2.0,0,self-doubt / encouragement,0.04530637711286545,0.2855152487754822,0.1638641059398651,0.04447821527719498,0.5189542174339294,0.7022092938423157,0.4794539213180542
b1,b13,2.0,2.0,1,frustration / despair,-0.011242177337408066,0.26893824338912964,0.1372772455215454,0.04994594305753708,0.5189542174339294,0.7022092938423157,0.4794539213180542
b1,b13,2.0,2.0,2,uncertainty / indecision,0.0504484660923481,0.2776021957397461,0.06155850365757942,0.040912676602602005,0.5189542174339294,0.7022092938423157,0.4794539213180542
b1,b13,2.0,2.0,3,romantic idealism,0.017757095396518707,0.13296011090278625,0.11043021082878113,0.05297365039587021,0.5189542174339294,0.7022092938423157,0.4794539213180542
b1,b13,2.0,2.0,4,academic ambition / competitive determination,0.0979037880897522,0.15426494181156158,0.056743234395980835,0.04842482879757881,0.5189542174339294,0.7022092938423157,0.4794539213180542
b1,b13,2.0,2.0,5,ironic amusement,-0.031086726114153862,0.2489597648382187,0.09540179371833801,0.04776734113693237,0.5189542174339294,0.7022092938423157,0.4794539213180542
b1,b13,2.0,2.0,6,enthusiasm / curiosity,-0.022651365026831627,0.35808974504470825,0.17953868210315704,0.041279226541519165,0.5189542174339294,0.7022092938423157,0.4794539213180542
b11,b13,-2.0,-2.0,0,self-doubt / encouragement,0.06815114617347717,0.17086146771907806,-0.015136493369936943,0.04447821527719498,0.48013561964035034,0.6198704838752747,0.44841325283050537
b11,b13,-2.0,-2.0,1,frustration / despair,-0.04777716472744942,0.21496999263763428,-0.01541898213326931,0.04994594305753708,0.48013561964035034,0.6198704838752747,0.44841325283050537
b11,b13,-2.0,-2.0,2,uncertainty / indecision,-0.03747418522834778,0.24846801161766052,-0.12390758097171783,0.040912676602602005,0.48013561964035034,0.6198704838752747,0.44841325283050537
b11,b13,-2.0,-2.0,3,romantic idealism,-0.08700849860906601,0.1259319931268692,-0.02971804141998291,0.05297365039587021,0.48013561964035034,0.6198704838752747,0.44841325283050537
b11,b13,-2.0,-2.0,4,academic ambition / competitive determination,-0.01176734734326601,0.1471511721611023,-0.10337424278259277,0.04842482879757881,0.48013561964035034,0.6198704838752747,0.44841325283050537
b11,b13,-2.0,-2.0,5,ironic amusement,0.02548801712691784,0.17142334580421448,0.012460507452487946,0.04776734113693237,0.48013561964035034,0.6198704838752747,0.44841325283050537
b11,b13,-2.0,-2.0,6,enthusiasm / curiosity,-0.019888974726200104,0.2826542258262634,0.02688891813158989,0.041279226541519165,0.48013561964035034,0.6198704838752747,0.44841325283050537
b11,b13,-2.0,2.0,0,self-doubt / encouragement,0.16561321914196014,0.21567437052726746,0.14783968031406403,0.04447821527719498,0.5151541829109192,0.6678299903869629,0.5677028298377991
b11,b13,-2.0,2.0,1,frustration / despair,0.08095681667327881,0.23966822028160095,0.1489066481590271,0.04994594305753708,0.5151541829109192,0.6678299903869629,0.5677028298377991
b11,b13,-2.0,2.0,2,uncertainty / indecision,0.1396254301071167,0.25343912839889526,0.087362140417099,0.040912676602602005,0.5151541829109192,0.6678299903869629,0.5677028298377991
b11,b13,-2.0,2.0,3,romantic idealism,0.0033443598076701164,0.11951460689306259,0.05623839795589447,0.05297365039587021,0.5151541829109192,0.6678299903869629,0.5677028298377991
b11,b13,-2.0,2.0,4,academic ambition / competitive determination,0.1372913122177124,0.12153500318527222,0.03518003597855568,0.04842482879757881,0.5151541829109192,0.6678299903869629,0.5677028298377991
b11,b13,-2.0,2.0,5,ironic amusement,0.04563469439744949,0.22507205605506897,0.10728903114795685,0.04776734113693237,0.5151541829109192,0.6678299903869629,0.5677028298377991
b11,b13,-2.0,2.0,6,enthusiasm / curiosity,0.09430493414402008,0.3067167103290558,0.17582076787948608,0.041279226541519165,0.5151541829109192,0.6678299903869629,0.5677028298377991
b11,b13,2.0,-2.0,0,self-doubt / encouragement,0.03408922255039215,0.18528102338314056,-0.06461644917726517,0.04447821527719498,0.460001677274704,0.5674786567687988,0.3806619644165039
b11,b13,2.0,-2.0,1,frustration / despair,-0.030336003750562668,0.22950804233551025,-0.002474125474691391,0.04994594305753708,0.460001677274704,0.5674786567687988,0.3806619644165039
b11,b13,2.0,-2.0,2,uncertainty / indecision,-0.004642058163881302,0.27683189511299133,-0.09621722251176834,0.040912676602602005,0.460001677274704,0.5674786567687988,0.3806619644165039
b11,b13,2.0,-2.0,3,romantic idealism,-0.10253917425870895,0.14525717496871948,-0.03769601508975029,0.05297365039587021,0.460001677274704,0.5674786567687988,0.3806619644165039
b11,b13,2.0,-2.0,4,academic ambition / competitive determination,0.055199429392814636,0.1346932202577591,-0.07905106246471405,0.04842482879757881,0.460001677274704,0.5674786567687988,0.3806619644165039
