component,alpha_unit,n_tokens,rep_2,rep_3,rep_4,max_run,max_run_norm,compress_ratio,unique_token_ratio,toxicity_rate,toxicity_hits,non_ascii_ratio
28,2.0,29.875,0.0931532722166617,0.045984162895927605,0.034482758620689655,0.875,0.02589849386724387,0.655123367087199,0.6324799332611832,0.0,0.0,0.002777777777777778
29,-2.0,21.5,0.14458023119122257,0.10267857142857142,0.08796296296296297,1.0,0.046880274897516276,0.6122369397662585,0.608669922031991,0.0,0.0,0.0014367816091954023
29,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
29,2.0,36.375,0.17849946562285157,0.1066903580954738,0.0523253571388652,1.0,0.02773516871595619,0.6684675232140829,0.6351618304476464,0.0,0.0,0.002717391304347826
30,-2.0,36.0,0.1843947946530443,0.14247948232323232,0.13146961405529956,1.0,0.02826807623634249,0.6433623391795829,0.64156254607106,0.0,0.0,0.0013157894736842105
30,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
30,2.0,36.125,0.19320006108657423,0.13478550343904208,0.09949116743471582,1.0,0.027882464451487222,0.6956109266335659,0.630377546880156,0.0,0.0,0.002304147465437788
31,-2.0,31.0,0.04159447997775305,0.0040322580645161255,0.0,1.125,0.03673442839269452,0.7554261009750536,0.8085402398154414,0.0,0.0,0.004465919906288893
31,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
31,2.0,32.625,0.1387271964477847,0.08287938461888199,0.050976778792912514,0.875,0.023964086978038406,0.6424728807757161,0.5692306971261721,0.0,0.0,0.001524390243902439
32,-2.0,37.875,0.105803833685423,0.04063989599884443,0.020387700534759357,1.0,0.027283827548548082,0.699254464011834,0.668980267882525,0.0,0.0,0.0006218905472636816
32,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
32,2.0,34.125,0.12094056255771027,0.06007021437071748,0.01802035330261137,1.0,0.03272811612836768,0.7356823986245536,0.7139649002313476,0.0,0.0,0.005194995244018438
33,-2.0,36.375,0.17045867520887192,0.11778846153846154,0.0930417888221881,1.125,0.03268708474456844,0.6685656977821738,0.6440424731246485,0.0,0.0,0.0006443298969072165
33,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
33,2.0,37.625,0.10709266911859791,0.060823699104949114,0.03668481841661396,1.0,0.02667303829356423,0.6884341011392215,0.6984074955826541,0.0,0.0,0.0024630541871921183
34,-2.0,11.875,0.03718081435472741,0.0,0.0,1.0,0.23251811594202898,0.571968601254508,0.8457427536231884,0.0,0.0,0.0021551724137931034
34,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
34,2.0,35.25,0.09028682826320023,0.04735417133192689,0.028409090909090898,1.0,0.02906140161339652,0.7163146760582338,0.7488511380181584,0.0,0.0,0.0012195121951219512
35,-2.0,36.25,0.23767677922089686,0.12517077943916596,0.0551271645021645,1.0,0.02811082441281932,0.6288319700828695,0.5446601418906173,0.0,0.0,0.004335260115606936
35,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
35,2.0,36.75,0.07887301797201686,0.03580956010452961,0.015625,1.125,0.03156053501571987,0.728487677059207,0.710359610873113,0.0,0.0,0.001736111111111111
36,-2.0,38.375,0.07253556910569108,0.026423453996983412,0.009868421052631582,1.0,0.02630436265369389,0.70866419715497,0.6956001206591294,0.0,0.0,0.0023404694706408756
36,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
36,2.0,36.0,0.14044073366149978,0.08519522877723215,0.05715725806451613,1.0,0.028182755201448126,0.7276749911974258,0.7011137167867466,0.0,0.0,0.0007142857142857143
37,-2.0,39.75,0.10068310068310068,0.051659891598916,0.039755639097744364,1.0,0.025407026700513383,0.6896091287530075,0.7002616447597136,0.0,0.0,0.001201923076923077
37,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
37,2.0,36.0,0.08704516587643524,0.04263663363024696,0.024344758064516123,1.0,0.02809998276172954,0.7239417779645662,0.7308058450456183,0.0,0.0,0.002688172043010753
38,-2.0,30.875,0.2766141861629904,0.21129180445686174,0.1666543958922918,1.0,0.028467803287342386,0.5582800993153294,0.4535455374957258,0.0,0.0,0.002512562814070352
38,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
38,2.0,34.25,0.0793851241069229,0.02409015715467329,0.009868421052631582,1.0,0.03032768272287822,0.7137586963285513,0.7334563539034942,0.0,0.0,0.0013227513227513227
39,-2.0,38.25,0.0903844720155696,0.034882703081232494,0.01428571428571429,1.0,0.026268674703225033,0.6962124622611227,0.6887326574802978,0.0,0.0,0.0038109756097560975
39,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
39,2.0,28.875,0.11166747104247104,0.068376857816513,0.03781512605042017,1.0,0.1549892006924293,0.6350146674348783,0.7615157774542342,0.0,0.0,0.0018028846153846155
40,-2.0,38.625,0.14130537217026307,0.07698136749860886,0.05358832129342965,1.0,0.026131218939710696,0.6889265243641437,0.6569615437952949,0.0,0.0,0.0017772511848341231
40,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
40,2.0,32.875,0.09617281798009353,0.039595764595764596,0.022339665032679742,1.0,0.0309593333030833,0.7351228288949737,0.74538173991299,0.0,0.0,0.003048780487804878
41,-2.0,37.125,0.1615189671985502,0.09045557376920295,0.05032682834406972,1.0,0.0273333493343574,0.6676053883997906,0.6548687115975422,0.0,0.0,0.001838235294117647
41,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
41,2.0,38.5,0.10654354015194226,0.049223159524828336,0.019554848966613664,1.125,0.029373458485919338,0.7138573712054648,0.6981122479644242,0.0,0.0,0.0023148148148148147
42,-2.0,35.25,0.24520787295240098,0.19471898790864306,0.15689877322880372,1.125,0.03304842422895966,0.6213299689596303,0.5976025099285897,0.0,0.0,0.001973684210526316
