decomposer,k,seed,layer,silhouette_cosine_H,component,mi,linear_sep_acc,category_top1_dominance,vad_explained
ica,128,0,22,0.00451522134244442,20,0.1483867981081488,0.1296875,0.25,0.00011382744560251012
ica,128,0,22,0.00451522134244442,21,0.11503956007845861,0.13125,0.5,0.003002485726028681
ica,128,0,22,0.00451522134244442,22,0.1040844798386904,0.12875,0.5,0.0003089382080361247
ica,128,0,22,0.00451522134244442,23,0.14739628736326704,0.1340625,0.625,0.0006447622436098754
ica,128,0,22,0.00451522134244442,24,0.13249408468833224,0.13125,0.5,0.00022192193137016147
ica,128,0,22,0.00451522134244442,25,0.16836698095482427,0.1390625,0.625,0.002556209685280919
ica,128,0,22,0.00451522134244442,26,0.14691776382220656,0.1321875,0.875,0.0009419505950063467
ica,128,0,22,0.00451522134244442,27,0.12700618914094486,0.1290625,0.375,0.0006421164143830538
ica,128,0,22,0.00451522134244442,28,0.12675923971995795,0.12156249999999999,0.375,0.00017583048611413687
ica,128,0,22,0.00451522134244442,29,0.15791343819691317,0.164375,1.0,0.003345451084896922
ica,128,0,22,0.00451522134244442,30,0.15663046306702677,0.143125,0.625,0.002289240015670657
ica,128,0,22,0.00451522134244442,31,0.1464548540393058,0.129375,0.25,0.00015852767683099955
ica,128,0,22,0.00451522134244442,32,0.13551508981754434,0.1375,0.5,0.00026615048409439623
ica,128,0,22,0.00451522134244442,33,0.1177891787831995,0.126875,0.375,0.0004388545348774642
ica,128,0,22,0.00451522134244442,34,0.13146903487246764,0.1390625,0.25,0.0010002503404393792
ica,128,0,22,0.00451522134244442,35,0.15025942921209623,0.1359375,0.375,0.002171566477045417
ica,128,0,22,0.00451522134244442,36,0.14682703562238464,0.143125,0.25,0.0009667367557995021
ica,128,0,22,0.00451522134244442,37,0.1307596249133307,0.13437500000000002,0.375,0.0033825617283582687
ica,128,0,22,0.00451522134244442,38,0.14990513339523348,0.1409375,0.375,0.0003232952149119228
ica,128,0,22,0.00451522134244442,39,0.16734825775486728,0.146875,0.375,0.0004678924451582134
ica,128,0,22,0.00451522134244442,40,0.12926891213248481,0.14156249999999998,0.25,0.00047707941848784685
ica,128,0,22,0.00451522134244442,41,0.14436076903354866,0.14468750000000002,0.625,0.00037951668491587043
ica,128,0,22,0.00451522134244442,42,0.1531579288547138,0.1346875,0.375,0.0018381946720182896
ica,128,0,22,0.00451522134244442,43,0.1474509500449943,0.1384375,0.625,0.0003186118265148252
ica,128,0,22,0.00451522134244442,44,0.11824682794867858,0.1265625,0.375,0.0026221817824989557
ica,128,0,22,0.00451522134244442,45,0.15466905922652963,0.1446875,0.25,0.0022784078028053045
ica,128,0,22,0.00451522134244442,46,0.17028865282751715,0.1403125,0.375,0.0025039417669177055
ica,128,0,22,0.00451522134244442,47,0.13283308960207973,0.13968750000000002,1.0,0.00016311148647218943
ica,128,0,22,0.00451522134244442,48,0.1760204859540635,0.1284375,1.0,0.0002199493465013802
ica,128,0,22,0.00451522134244442,49,0.18536574323712163,0.13343750000000001,0.75,0.014199930243194103
ica,128,0,22,0.00451522134244442,50,0.1394720270876464,0.12843749999999998,0.5,0.000742337666451931
ica,128,0,22,0.00451522134244442,51,0.1477313295814615,0.1384375,0.375,0.0010800909949466586
ica,128,0,22,0.00451522134244442,52,0.16338415726994926,0.143125,0.5,0.003986002877354622
ica,128,0,22,0.00451522134244442,53,0.13054202199452414,0.1278125,0.375,0.0009145608055405319
ica,128,0,22,0.00451522134244442,54,0.15346755800717427,0.14781249999999999,0.5,0.0027365090791136026
ica,128,0,22,0.00451522134244442,55,0.1358371377443892,0.126875,0.375,0.0022941494826227427
